"name","max_high","ts","hour"
"BYND","140.91000366210938","2020-12-01 09:40:00-05:00","09"
"BYND","139.15499877929688","2020-12-01 10:00:00-05:00","10"
"BYND","138.5","2020-12-01 11:25:00-05:00","11"
"BYND","138.72000122070312","2020-12-01 12:30:00-05:00","12"
"BYND","138.8800048828125","2020-12-01 13:40:00-05:00","13"
"BYND","138.8800048828125","2020-12-01 13:45:00-05:00","13"
"BYND","138.6699981689453","2020-12-01 14:05:00-05:00","14"
"BYND","137.88999938964844","2020-12-01 15:35:00-05:00","15"
"DDOG","98.80000305175781","2020-12-01 09:30:00-05:00","09"
"DDOG","96.87999725341797","2020-12-01 10:00:00-05:00","10"
"DDOG","95.88999938964844","2020-12-01 11:25:00-05:00","11"
"DDOG","95.54000091552734","2020-12-01 12:10:00-05:00","12"
"DDOG","95.48999786376953","2020-12-01 13:55:00-05:00","13"
"DDOG","95.73999786376953","2020-12-01 14:05:00-05:00","14"
"DDOG","96.02999877929688","2020-12-01 15:50:00-05:00","15"
"FB","284.92999267578125","2020-12-01 09:50:00-05:00","09"
"FB","286.1099853515625","2020-12-01 10:20:00-05:00","10"
"FB","288.95001220703125","2020-12-01 11:50:00-05:00","11"
"FB","289.29998779296875","2020-12-01 12:35:00-05:00","12"
"FB","288.9599914550781","2020-12-01 13:50:00-05:00","13"
"FB","288.75","2020-12-01 14:15:00-05:00","14"
"FB","287.1199951171875","2020-12-01 15:00:00-05:00","15"
"NFLX","505.193115234375","2020-12-01 09:45:00-05:00","09"
"NFLX","507.4200134277344","2020-12-01 10:15:00-05:00","10"
"NFLX","504.5398864746094","2020-12-01 11:10:00-05:00","11"
"NFLX","506.4800109863281","2020-12-01 12:25:00-05:00","12"
"NFLX","509.4700012207031","2020-12-01 13:30:00-05:00","13"
"NFLX","507.4949951171875","2020-12-01 14:10:00-05:00","14"
"NFLX","505.3399963378906","2020-12-01 15:55:00-05:00","15"
"OKTA","244.27000427246094","2020-12-01 09:30:00-05:00","09"
"OKTA","241.39999389648438","2020-12-01 10:00:00-05:00","10"
"OKTA","239.5","2020-12-01 11:15:00-05:00","11"
"OKTA","239.0","2020-12-01 12:10:00-05:00","12"
"OKTA","240.0399932861328","2020-12-01 13:45:00-05:00","13"
"OKTA","238.87289428710938","2020-12-01 14:00:00-05:00","14"
"OKTA","237.86500549316406","2020-12-01 15:45:00-05:00","15"
"PINS","71.0999984741211","2020-12-01 09:30:00-05:00","09"
"PINS","69.5199966430664","2020-12-01 10:15:00-05:00","10"
"PINS","69.38870239257812","2020-12-01 11:25:00-05:00","11"
"PINS","69.1500015258789","2020-12-01 12:05:00-05:00","12"
"PINS","69.25","2020-12-01 13:45:00-05:00","13"
"PINS","69.08000183105469","2020-12-01 14:00:00-05:00","14"
"PINS","68.37000274658203","2020-12-01 15:50:00-05:00","15"
"SHOP","1086.0","2020-12-01 09:55:00-05:00","09"
"SHOP","1087.7298583984375","2020-12-01 10:00:00-05:00","10"
"SHOP","1077.849853515625","2020-12-01 11:30:00-05:00","11"
"SHOP","1076.81005859375","2020-12-01 12:05:00-05:00","12"
"SHOP","1081.8399658203125","2020-12-01 13:50:00-05:00","13"
"SHOP","1075.1700439453125","2020-12-01 14:10:00-05:00","14"
"SHOP","1072.280029296875","2020-12-01 15:45:00-05:00","15"
"SNAP","45.20000076293945","2020-12-01 09:35:00-05:00","09"
"SNAP","44.849998474121094","2020-12-01 10:00:00-05:00","10"
"SNAP","44.9900016784668","2020-12-01 11:10:00-05:00","11"
"SNAP","44.91999816894531","2020-12-01 12:35:00-05:00","12"
"SNAP","45.150001525878906","2020-12-01 13:30:00-05:00","13"
"SNAP","44.974998474121094","2020-12-01 14:00:00-05:00","14"
"SNAP","44.79999923706055","2020-12-01 15:00:00-05:00","15"
"SQ","212.9499969482422","2020-12-01 09:30:00-05:00","09"
"SQ","209.5500030517578","2020-12-01 10:00:00-05:00","10"
"SQ","207.9239959716797","2020-12-01 11:20:00-05:00","11"
"SQ","207.41510009765625","2020-12-01 12:25:00-05:00","12"
"SQ","208.32000732421875","2020-12-01 13:25:00-05:00","13"
"SQ","207.4499969482422","2020-12-01 14:05:00-05:00","14"
"SQ","204.0","2020-12-01 15:50:00-05:00","15"
"TTD","905.0","2020-12-01 09:30:00-05:00","09"
"TTD","895.9500122070312","2020-12-01 10:00:00-05:00","10"
"TTD","885.780029296875","2020-12-01 11:10:00-05:00","11"
"TTD","885.780029296875","2020-12-01 11:15:00-05:00","11"
"TTD","883.4400024414062","2020-12-01 12:00:00-05:00","12"
"TTD","892.0","2020-12-01 13:50:00-05:00","13"
"TTD","887.530029296875","2020-12-01 14:25:00-05:00","14"
"TTD","893.1599731445312","2020-12-01 15:55:00-05:00","15"
